Itmcd,district,rate
E1-014,AMPARA DISTRICT,2256.75
E1-015,AMPARA DISTRICT,2534.45
E1-016,AMPARA DISTRICT,3367.5
E1-017,AMPARA DISTRICT,3367.5
E1-018,AMPARA DISTRICT,3367.5
E1-019,AMPARA DISTRICT,3367.5
E1-020,AMPARA DISTRICT,208.25
E1-021,AMPARA DISTRICT,208.25
E1-022,AMPARA DISTRICT,274.9
E1-023,AMPARA DISTRICT,3149.2
E1-024,AMPARA DISTRICT,3893.55
E1-025,AMPARA DISTRICT,4327.7
E1-026,AMPARA DISTRICT,5559.15
E1-027,AMPARA DISTRICT,391.95
E1-028,AMPARA DISTRICT,142.95
E1-029,AMPARA DISTRICT,47.7
E1-029A,AMPARA DISTRICT,9.55
EW1-001 & EW1-011 IN THIS SHEDULE IS BASED ON MANUAL,AMPARA DISTRICT,2446.85
EW1-001,AMPARA DISTRICT,2446.85
EW1-002,AMPARA DISTRICT,290
EW1-003 *,AMPARA DISTRICT,644.15
EW1-003A,AMPARA DISTRICT,288.2
EW1-004,AMPARA DISTRICT,778.05
EW1-005,AMPARA DISTRICT,744.4
EW1-006,AMPARA DISTRICT,744.4
EW1-007,AMPARA DISTRICT,681.05
EW1-008,AMPARA DISTRICT,937.15
EW1-009,AMPARA DISTRICT,104.2
EW1-010,AMPARA DISTRICT,94.75
EW1-011,AMPARA DISTRICT,1738.75
EW1-012,AMPARA DISTRICT,2328.4
EW1-013,AMPARA DISTRICT,2328.4
EW1-014,AMPARA DISTRICT,1445
EW1-015,AMPARA DISTRICT,88.65
"M1-004,M1-007,M1-008 AND M1-009",AMPARA DISTRICT,1462.75
M1-001,AMPARA DISTRICT,1462.75
M1-002,AMPARA DISTRICT,153.15
M1-003,AMPARA DISTRICT,127.75
M1-004,AMPARA DISTRICT,2223.95
M1-005,AMPARA DISTRICT,91.65
M1-006,AMPARA DISTRICT,104.7
M1-007,AMPARA DISTRICT,2894.2
M1-008,AMPARA DISTRICT,2335.2
M1-009,AMPARA DISTRICT,2074.9
M1-010,AMPARA DISTRICT,7000.15
M1-011,AMPARA DISTRICT,6523.75
M1-012,AMPARA DISTRICT,3345.49
M1-012A,AMPARA DISTRICT,3345.49
M1-013,AMPARA DISTRICT,5140.35
M1-013A,AMPARA DISTRICT,3550.6
S1-001,AMPARA DISTRICT,507.7
S1-002,AMPARA DISTRICT,501.4
S1-003,AMPARA DISTRICT,376.9
S1-004,AMPARA DISTRICT,196.4
S1-005,AMPARA DISTRICT,372.2
S1-006,AMPARA DISTRICT,192.65
S1-007,AMPARA DISTRICT,229
S1-008,AMPARA DISTRICT,279.75
S1-009,AMPARA DISTRICT,222.85
S1-010,AMPARA DISTRICT,273.55
S1-011,AMPARA DISTRICT,654.9
S1-012,AMPARA DISTRICT,634.2
S1-013,AMPARA DISTRICT,175.75
S1-014,AMPARA DISTRICT,167.9
S1-015,AMPARA DISTRICT,105.2
S1-016,AMPARA DISTRICT,210.4
S1-017,AMPARA DISTRICT,147.1
S1-017A,AMPARA DISTRICT,104.75
